Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year 
Plains Severe Weather (April 2014),Severe Storm,4/2/2014,4/3/2014,1509.4,0,2014
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,1/5/2014,1/8/2014,2303.1,16,2014
Western/Plains Drought/Heatwave (Spring-Fall 2013),Drought,3/1/2013,11/30/2013,11259.8,53,2013
Ohio Valley Tornadoes (November 2013),Severe Storm,11/17/2013,11/17/2013,1177.8,8,2013
Colorado Flooding (September 2013),Flooding,9/10/2013,9/16/2013,1629.2,9,2013
Midwest Severe Weather (August 2013),Severe Storm,8/6/2013,8/7/2013,1125.3,0,2013
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,5/27/2013,5/31/2013,1958.5,10,2013
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,5/18/2013,5/22/2013,2592.3,27,2013
Illinois Flooding and Severe Weather (April 2013),Flooding,4/16/2013,4/19/2013,1163.2,4,2013
Midwest/Plains Severe Weather (April 2013),Severe Storm,4/7/2013,4/11/2013,1559.5,1,2013
Southeast Severe Weather (March 2013),Severe Storm,3/18/2013,3/18/2013,2181.7,1,2013
U.S. Drought/Heatwave (2012),Drought,1/1/2012,12/31/2012,33003.9,123,2012
Western Wildfires (Summer-Fall 2012),Wildfire,6/1/2012,11/30/2012,1912.5,8,2012
Hurricane Sandy (October 2012),Tropical Cyclone,10/30/2012,10/31/2012,71543.7,159,2012
Hurricane Isaac (August 2012),Tropical Cyclone,8/26/2012,8/31/2012,3039.8,9,2012
